Helység;jogállása;Megye ;megye székhely;Terület  (hektár);Lakó-népesség;Lakások száma
Alap;község;Fejér;Sárbogárd;4830;1907;877
Alattyán;község;Jász-Nagykun-Szolnok;Jászapáti;3430;1989;910
Albertirsa;város;Pest;Cegléd;7294;12212;4950
Alcsútdoboz;község;Fejér;Bicske;5071;1452;584
Aldebrő;község;Heves;Füzesabony;2178;718;342
Algyő;nagyközség;Csongrád;Szeged;7577;5088;2076
Alibánfa;község;Zala;Zalaegerszeg;584;394;166
Almamellék;község;Baranya;Szigetvár;4432;381;163
Almásfüzitő;község;Komárom-Esztergom;Komárom;818;2047;1125
Almásháza;község;Zala;Zalaegerszeg;499;70;24
Almáskamarás;község;Békés;Mezőkovácsháza;1471;886;450
Almáskeresztúr;község;Baranya;Szigetvár;1303;81;51
Álmosd;község;Hajdú-Bihar;Nyíradony;3413;1653;702
Alsóberecki;község;Borsod-Abaúj-Zemplén;Sátoraljaújhely;686;705;282
Alsóbogát;község;Somogy;Kaposvár;1201;239;88
Alsódobsza;község;Borsod-Abaúj-Zemplén;Szerencs;1068;287;150
Alsógagy;község;Borsod-Abaúj-Zemplén;Encs;628;87;55
Alsómocsolád;község;Baranya;Sásd;1300;283;140
Alsónána;község;Tolna;Szekszárd;1313;700;280
Alsónémedi;nagyközség;Pest;Gyál;4907;5205;2126
Alsónemesapáti;község;Zala;Zalaegerszeg;1451;654;273
Alsónyék;község;Tolna;Szekszárd;3188;760;302
Alsóörs;község;Veszprém;Balatonfüred;3334;1631;797
Alsópáhok;község;Zala;Keszthely;1802;1307;664
Alsópetény;község;Nógrád;Rétság;1968;550;300
Alsórajk;község;Zala;Nagykanizsa;845;341;171
Alsóregmec;község;Borsod-Abaúj-Zemplén;Sátoraljaújhely;1540;178;87
Alsószenterzsébet;község;Zala;Lenti;963;48;38
Alsószentiván;község;Fejér;Sárbogárd;3963;645;285
Alsószentmárton;község;Baranya;Siklós;1362;1247;296
Alsószölnök;község;Vas;Szentgotthárd;1002;368;166
Alsószuha;község;Borsod-Abaúj-Zemplén;Putnok;2242;423;172
Alsótelekes;község;Borsod-Abaúj-Zemplén;Kazincbarcika;644;139;92
Alsótold;község;Nógrád;Pásztó;786;229;112
Alsóújlak;község;Vas;Vasvár;2102;594;291
Alsóvadász;község;Borsod-Abaúj-Zemplén;Szikszó;2291;1511;447
Alsózsolca;város;Borsod-Abaúj-Zemplén;Miskolc;2603;5683;1837
Ambrózfalva;község;Csongrád;Makó;1121;508;237
Anarcs;község;Szabolcs-Szatmár-Bereg;Kisvárda;1705;1943;655
Andocs;község;Somogy;Tab;4327;1078;469
Andornaktálya;község;Heves;Eger;1675;2604;1052
Andrásfa;község;Vas;Vasvár;823;236;138
Annavölgy;község;Komárom-Esztergom;Esztergom;479;927;399
Apácatorna;község;Veszprém;Devecser;729;166;84
Apagy;község;Szabolcs-Szatmár-Bereg;Nyíregyháza;3200;2309;872
Apaj;község;Pest;Ráckeve;7105;1206;430
Aparhant;község;Tolna;Bonyhád;1796;1009;386
Apátfalva;község;Csongrád;Makó;5373;2920;1539
Apátistvánfalva;község;Vas;Szentgotthárd;1286;377;164
Apátvarasd;község;Baranya;Pécsvárad;814;129;38
Apc;község;Heves;Hatvan;2046;2453;1099
Áporka;község;Pest;Ráckeve;1747;1067;490
Apostag;község;Bács-Kiskun;Kunszentmiklós;3194;2010;965
Aranyosapáti;község;Szabolcs-Szatmár-Bereg;Vásárosnamény;2109;2047;675
Aranyosgadány;község;Baranya;Pécs;826;369;138
Arka;község;Borsod-Abaúj-Zemplén;Gönc;949;54;66
Arló;nagyközség;Borsod-Abaúj-Zemplén;Ózd;4685;3798;1120
Arnót;község;Borsod-Abaúj-Zemplén;Miskolc;1754;2420;824
Ároktő;község;Borsod-Abaúj-Zemplén;Mezőcsát;4641;1116;479
Árpádhalom;község;Csongrád;Szentes;4517;514;247
Árpás;község;Győr-Moson-Sopron;Tét;1426;273;129
Ártánd;község;Hajdú-Bihar;Berettyóújfalu;1979;514;249
Ásotthalom;nagyközség;Csongrád;Mórahalom;12255;3849;1930
Ásványráró;község;Győr-Moson-Sopron;Mosonmagyaróvár;3910;1914;805
Aszaló;község;Borsod-Abaúj-Zemplén;Szikszó;2536;1843;631
Ászár;község;Komárom-Esztergom;Kisbér;1868;1714;674
Aszód;város;Pest;Aszód;1620;6162;2460
Aszófő;község;Veszprém;Balatonfüred;832;389;196
Áta;község;Baranya;Pécs;809;165;90
Átány;község;Heves;Heves;5040;1490;574
Atkár;község;Heves;Gyöngyös;3376;1715;729
Attala;község;Tolna;Dombóvár;2064;820;365
Babarc;község;Baranya;Bóly;1885;708;315
Babarcszőlős;község;Baranya;Siklós;425;109;61
Babócsa;község;Somogy;Barcs;3099;1510;700
Bábolna;város;Komárom-Esztergom;Komárom;3357;3789;1376
Bábonymegyer;község;Somogy;Tab;2193;790;364
Babosdöbréte;község;Zala;Zalaegerszeg;1252;473;228
Babót;község;Győr-Moson-Sopron;Kapuvár;2167;1128;472
Bácsalmás;város;Bács-Kiskun;Bácsalmás;10832;6586;3132
Bácsbokod;nagyközség;Bács-Kiskun;Bácsalmás;6393;2567;1219
Bácsborsód;község;Bács-Kiskun;Bácsalmás;7753;1124;416
Bácsszentgyörgy;község;Bács-Kiskun;Baja;1475;155;96
Bácsszőlős;község;Bács-Kiskun;Bácsalmás;3881;360;225
Badacsonytomaj;város;Veszprém;Tapolca;3270;2150;1080
Badacsonytördemic;község;Veszprém;Tapolca;1025;878;449
Bag;nagyközség;Pest;Aszód;2355;3584;1339
Bagamér;nagyközség;Hajdú-Bihar;Nyíradony;4702;2540;971
Baglad;község;Zala;Lenti;486;38;41
Bagod;község;Zala;Zalaegerszeg;1636;1270;465
Bágyogszovát;község;Győr-Moson-Sopron;Csorna;2406;1293;547
Baj;község;Komárom-Esztergom;Tata;2113;2779;1068
Baja;város;Bács-Kiskun;Baja;17792;35718;16977
Bajánsenye;község;Vas;Körmend;2185;487;242
Bajna;község;Komárom-Esztergom;Esztergom;3721;1935;779
Bajót;község;Komárom-Esztergom;Esztergom;1643;1602;559
Bak;község;Zala;Zalaegerszeg;2305;1578;583
Bakháza;község;Somogy;Nagyatád;592;184;85
Bakóca;község;Baranya;Sásd;1065;269;134
Bakonszeg;község;Hajdú-Bihar;Berettyóújfalu;3496;1194;574
Bakonya;község;Baranya;Pécs;1507;322;142
Bakonybánk;község;Komárom-Esztergom;Kisbér;1506;439;216
Bakonybél;község;Veszprém;Zirc;2436;1221;569
Bakonycsernye;község;Fejér;Mór;3813;2952;1209
Bakonygyirót;község;Győr-Moson-Sopron;Pannonhalma;685;139;117
Bakonyjákó;község;Veszprém;Pápa;4716;630;259
Bakonykoppány;község;Veszprém;Pápa;683;194;116
Bakonykúti;község;Fejér;Székesfehérvár;1245;131;75
Bakonynána;község;Veszprém;Zirc;1493;1009;382
Bakonyoszlop;község;Veszprém;Zirc;1420;420;206
Bakonypéterd;község;Győr-Moson-Sopron;Pannonhalma;1002;284;126
Bakonypölöske;község;Veszprém;Pápa;1104;375;163
Bakonyság;község;Veszprém;Pápa;857;44;55
Bakonysárkány;község;Komárom-Esztergom;Kisbér;1413;956;395
Bakonyszentiván;község;Veszprém;Pápa;914;232;103
Bakonyszentkirály;község;Veszprém;Zirc;2789;839;381
Bakonyszentlászló;község;Győr-Moson-Sopron;Pannonhalma;3851;1753;778
Bakonyszombathely;község;Komárom-Esztergom;Kisbér;3653;1453;602
Bakonyszücs;község;Veszprém;Pápa;3520;299;153
Bakonytamási;község;Veszprém;Pápa;2049;635;271
Baks;község;Csongrád;Kistelek;6192;1977;853
Baksa;község;Baranya;Sellye;1382;745;277
Baktakék;község;Borsod-Abaúj-Zemplén;Encs;1879;724;282
Baktalórántháza;város;Szabolcs-Szatmár-Bereg;Baktalórántháza;3524;3987;1175
Baktüttös;község;Zala;Zalaegerszeg;970;352;144
Balajt;község;Borsod-Abaúj-Zemplén;Edelény;903;487;148
Balassagyarmat;város;Nógrád;Balassagyarmat;2333;15570;6718
Balástya;község;Csongrád;Kistelek;10995;3436;1893
Balaton;község;Heves;Bélapátfalva;1320;1053;447
Balatonakali;község;Veszprém;Balatonfüred;3620;658;343
Balatonakarattya;község;Veszprém;Balatonalmádi;2139;835;468
Balatonalmádi;város;Veszprém;Balatonalmádi;4988;8535;4267
Balatonberény;község;Somogy;Marcali;2609;1081;652
Balatonboglár;város;Somogy;Fonyód;3204;5798;2736
Balatoncsicsó;község;Veszprém;Balatonfüred;1320;220;108
Balatonederics;község;Veszprém;Tapolca;1858;1018;457
Balatonendréd;község;Somogy;Siófok;4001;1311;582
Balatonfenyves;község;Somogy;Fonyód;5193;1833;1144
Balatonfőkajár;község;Veszprém;Balatonalmádi;2192;1300;533
Balatonföldvár;város;Somogy;Siófok;1532;2195;1174
Balatonfüred;város;Veszprém;Balatonfüred;4645;13224;6171
Balatonfűzfő;város;Veszprém;Balatonalmádi;925;4142;2013
Balatongyörök;község;Zala;Keszthely;3759;1030;534
Balatonhenye;község;Veszprém;Tapolca;1173;130;62
Balatonkenese;város;Veszprém;Balatonalmádi;4418;2576;1186
Balatonkeresztúr;község;Somogy;Marcali;2106;1504;735
Balatonlelle;város;Somogy;Fonyód;4323;5223;2786
Balatonmagyaród;község;Zala;Nagykanizsa;3154;427;259
Balatonmáriafürdő;község;Somogy;Marcali;2677;700;355
Balatonőszöd;község;Somogy;Siófok;1508;502;409
Balatonrendes;község;Veszprém;Tapolca;675;121;84
Balatonszabadi;község;Somogy;Siófok;4134;2965;1183
Balatonszárszó;nagyközség;Somogy;Siófok;3013;1947;941
Balatonszemes;község;Somogy;Siófok;3602;1763;981
Balatonszentgyörgy;község;Somogy;Marcali;2368;1584;727
Balatonszepezd;község;Veszprém;Balatonfüred;2505;368;210
Balatonszőlős;község;Veszprém;Balatonfüred;1282;624;221
Balatonudvari;község;Veszprém;Balatonfüred;1879;301;174
Balatonújlak;község;Somogy;Marcali;1081;458;262
Balatonvilágos;község;Somogy;Siófok;2921;1153;609
Balinka;község;Fejér;Mór;1862;891;377
Balkány;város;Szabolcs-Szatmár-Bereg;Nagykálló;8998;6392;2464
Ballószög;község;Bács-Kiskun;Kecskemét;3493;3459;1163
Balmazújváros;város;Hajdú-Bihar;Balmazújváros;20534;17448;6790
Balogunyom;község;Vas;Szombathely;1211;1106;421
Balotaszállás;község;Bács-Kiskun;Kiskunhalas;10493;1483;729
Balsa;község;Szabolcs-Szatmár-Bereg;Ibrány;2252;838;417
Bálványos;község;Somogy;Siófok;2368;541;264
Bana;község;Komárom-Esztergom;Komárom;2513;1629;570
Bánd;község;Veszprém;Veszprém;983;648;245
Bánfa;község;Baranya;Szigetvár;1206;168;81
Bánhorváti;község;Borsod-Abaúj-Zemplén;Kazincbarcika;2847;1373;579
Bánk;község;Nógrád;Rétság;990;659;304
Bánokszentgyörgy;község;Zala;Letenye;3253;627;290
Bánréve;község;Borsod-Abaúj-Zemplén;Putnok;662;1331;543
Bár;község;Baranya;Mohács;900;522;237
Barabás;község;Szabolcs-Szatmár-Bereg;Vásárosnamény;3820;916;382
Baracs;község;Fejér;Dunaújváros;5516;3362;1378
Baracska;község;Fejér;Martonvásár;3968;2670;1056
Báránd;község;Hajdú-Bihar;Püspökladány;4254;2631;1153
Baranyahídvég;község;Baranya;Sellye;849;178;73
Baranyajenő;község;Baranya;Sásd;1555;412;158
Baranyaszentgyörgy;község;Baranya;Sásd;727;154;76
Barbacs;község;Győr-Moson-Sopron;Csorna;1364;731;315
Barcs;város;Somogy;Barcs;12292;10858;4538
Bárdudvarnok;község;Somogy;Kaposvár;4856;1098;511
Barlahida;község;Zala;Lenti;605;109;86
Bárna;község;Nógrád;Salgótarján;1539;1024;456
Barnag;község;Veszprém;Veszprém;1201;128;75
Bársonyos;község;Komárom-Esztergom;Kisbér;1685;751;298
Basal;község;Baranya;Szigetvár;403;167;78
Baskó;község;Borsod-Abaúj-Zemplén;Gönc;2963;181;91
Báta;község;Tolna;Szekszárd;6619;1683;768
Bátaapáti;község;Tolna;Bonyhád;2044;423;140
Bátaszék;város;Tolna;Szekszárd;6368;6217;2522
Baté;község;Somogy;Kaposvár;1028;809;298
Bátmonostor;község;Bács-Kiskun;Baja;3795;1503;698
Bátonyterenye;város;Nógrád;Bátonyterenye;7893;12443;5708
Bátor;község;Heves;Eger;2732;343;193
Bátorliget;község;Szabolcs-Szatmár-Bereg;Nyírbátor;3328;669;334
Battonya;város;Békés;Mezőkovácsháza;14571;5960;3011
Bátya;község;Bács-Kiskun;Kalocsa;3391;2016;939
Batyk;község;Zala;Zalaszentgrót;809;373;190
Bázakerettye;község;Zala;Letenye;803;809;385
Bazsi;község;Veszprém;Sümeg;910;398;180
Béb;község;Veszprém;Pápa;703;229;100
Becsehely;község;Zala;Letenye;3607;2069;750
Becske;község;Nógrád;Balassagyarmat;1566;530;292
Becskeháza;község;Borsod-Abaúj-Zemplén;Edelény;500;27;33
Becsvölgye;község;Zala;Zalaegerszeg;2140;770;348
Bedegkér;község;Somogy;Tab;2600;412;198
Bedő;község;Hajdú-Bihar;Berettyóújfalu;1019;291;141
Bejcgyertyános;község;Vas;Sárvár;3143;438;265
Békás;község;Veszprém;Pápa;652;204;95
Bekecs;község;Borsod-Abaúj-Zemplén;Szerencs;2572;2485;956
Békés;város;Békés;Békés;12723;19433;8381
Békéscsaba;megyeszékhely, megyei jogú város;Békés;Békéscsaba;19393;60334;29303
Békéssámson;község;Békés;Orosháza;7121;2381;1107
Békésszentandrás;nagyközség;Békés;Szarvas;7745;3608;1938
Bekölce;község;Heves;Bélapátfalva;1377;591;338
Bélapátfalva;város;Heves;Bélapátfalva;3663;3041;1117
Bélavár;község;Somogy;Barcs;2278;342;221
Belecska;község;Tolna;Tamási;1439;365;138
Beled;város;Győr-Moson-Sopron;Kapuvár;2647;2640;1093
Beleg;község;Somogy;Nagyatád;1799;601;225
Belezna;község;Zala;Nagykanizsa;3094;733;287
Bélmegyer;község;Békés;Békés;6305;968;530
Beloiannisz;község;Fejér;Dunaújváros;454;1029;432
Belsősárd;község;Zala;Lenti;979;94;43
Belvárdgyula;község;Baranya;Bóly;1723;403;167
Benk;község;Szabolcs-Szatmár-Bereg;Záhony;842;418;175
Bénye;község;Pest;Monor;1651;1220;511
Bér;község;Nógrád;Pásztó;2549;323;196
Bérbaltavár;község;Vas;Vasvár;2566;531;289
Bercel;község;Nógrád;Balassagyarmat;3588;2044;746
Beregdaróc;község;Szabolcs-Szatmár-Bereg;Vásárosnamény;2382;950;345
Beregsurány;község;Szabolcs-Szatmár-Bereg;Vásárosnamény;1601;814;230
Berekböszörmény;község;Hajdú-Bihar;Berettyóújfalu;4283;1923;762
Berekfürdő;község;Jász-Nagykun-Szolnok;Karcag;1857;1010;520
Beremend;nagyközség;Baranya;Siklós;4826;2428;1012
Berente;község;Borsod-Abaúj-Zemplén;Kazincbarcika;920;1211;399
Beret;község;Borsod-Abaúj-Zemplén;Encs;677;274;91
Berettyóújfalu;város;Hajdú-Bihar;Berettyóújfalu;17100;15008;6471
Berhida;város;Veszprém;Várpalota;4273;5833;2038
Berkenye;község;Nógrád;Rétság;1346;602;273
Berkesd;község;Baranya;Pécs;1904;863;295
Berkesz;község;Szabolcs-Szatmár-Bereg;Kemecse;1317;834;304
Bernecebaráti;község;Pest;Szob;3767;898;454
Berzék;község;Borsod-Abaúj-Zemplén;Miskolc;1059;1096;348
Berzence;nagyközség;Somogy;Csurgó;5376;2574;965
Besence;község;Baranya;Sellye;958;107;44
Besenyőd;község;Szabolcs-Szatmár-Bereg;Baktalórántháza;945;722;254
Besenyőtelek;község;Heves;Füzesabony;4910;2588;1085
Besenyszög;város;Jász-Nagykun-Szolnok;Szolnok;13807;3276;1422
Besnyő;község;Fejér;Dunaújváros;4464;1691;688
Beszterec;község;Szabolcs-Szatmár-Bereg;Kemecse;1159;1043;371
Bezedek;község;Baranya;Mohács;1136;223;104
Bezenye;község;Győr-Moson-Sopron;Mosonmagyaróvár;3002;1302;569
Bezeréd;község;Zala;Zalaegerszeg;1214;126;149
Bezi;község;Győr-Moson-Sopron;Győr;1120;517;205
Biatorbágy;város;Pest;Budakeszi;4411;12767;4818
Bicsérd;község;Baranya;Szentlőrinc;1975;1003;366
Bicske;város;Fejér;Bicske;7708;11891;4125
Bihardancsháza;község;Hajdú-Bihar;Püspökladány;831;172;100
Biharkeresztes;város;Hajdú-Bihar;Berettyóújfalu;4923;4149;1642
Biharnagybajom;község;Hajdú-Bihar;Püspökladány;6134;2824;1114
Bihartorda;község;Hajdú-Bihar;Püspökladány;2237;941;407
Biharugra;község;Békés;Sarkad;5284;945;557
Bikács;község;Tolna;Paks;3466;449;206
Bikal;község;Baranya;Komló;1703;729;329
Biri;község;Szabolcs-Szatmár-Bereg;Nagykálló;2259;1407;511
Birján;község;Baranya;Pécs;907;501;205
Bisse;község;Baranya;Siklós;1380;215;112
Boba;község;Vas;Celldömölk;1095;827;326
Bocfölde;község;Zala;Zalaegerszeg;873;1123;421
Boconád;község;Heves;Heves;2953;1274;639
Bócsa;község;Bács-Kiskun;Kiskőrös;9704;1823;877
Bocska;község;Zala;Nagykanizsa;738;323;135
Bocskaikert;község;Hajdú-Bihar;Hajdúhadház;1090;3192;1282
Boda;község;Baranya;Szentlőrinc;1542;403;173
Bodajk;város;Fejér;Mór;2897;4066;1542
Bodmér;község;Fejér;Bicske;717;232;108
Bodolyabér;község;Baranya;Komló;909;206;121
Bodonhely;község;Győr-Moson-Sopron;Csorna;1109;287;163
Bodony;község;Heves;Pétervására;2896;745;447
Bodorfa;község;Veszprém;Sümeg;222;94;55
Bodrog;község;Somogy;Kaposvár;1478;439;185
Bodroghalom;község;Borsod-Abaúj-Zemplén;Cigánd;2686;1358;526
Bodrogkeresztúr;község;Borsod-Abaúj-Zemplén;Tokaj;2987;1109;545
Bodrogkisfalud;község;Borsod-Abaúj-Zemplén;Tokaj;1468;840;430
Bodrogolaszi;község;Borsod-Abaúj-Zemplén;Sárospatak;2062;917;387
Bódvalenke;község;Borsod-Abaúj-Zemplén;Edelény;663;211;60
Bódvarákó;község;Borsod-Abaúj-Zemplén;Edelény;922;80;79
Bódvaszilas;község;Borsod-Abaúj-Zemplén;Edelény;1923;1080;471
Bogács;község;Borsod-Abaúj-Zemplén;Mezőkövesd;2469;1960;968
Bogád;község;Baranya;Pécs;784;999;393
Bogádmindszent;község;Baranya;Sellye;1158;425;138
Bogdása;község;Baranya;Sellye;2100;256;123
Bogyiszló;község;Tolna;Tolna;5595;2152;914
Bogyoszló;község;Győr-Moson-Sopron;Csorna;2621;619;312
Bojt;község;Hajdú-Bihar;Berettyóújfalu;2686;551;206
Bókaháza;község;Zala;Keszthely;670;263;142
Bokod;község;Komárom-Esztergom;Oroszlány;2991;2064;807
Bokor;község;Nógrád;Pásztó;675;125;68
Boldog;község;Heves;Hatvan;2674;2937;1168
Boldogasszonyfa;község;Baranya;Szigetvár;1722;379;212
Boldogkőújfalu;község;Borsod-Abaúj-Zemplén;Gönc;1098;576;207
Boldogkőváralja;község;Borsod-Abaúj-Zemplén;Gönc;2199;1119;419
Boldva;község;Borsod-Abaúj-Zemplén;Edelény;2834;2360;791
Bolhás;község;Somogy;Nagyatád;3143;431;184
Bolhó;község;Somogy;Barcs;2507;756;392
Bóly;város;Baranya;Bóly;2538;3887;1492
Boncodfölde;község;Zala;Zalaegerszeg;590;341;131
Bonyhád;város;Tolna;Bonyhád;7213;13471;5572
Bonyhádvarasd;község;Tolna;Bonyhád;1045;416;159
Bonnya;község;Somogy;Tab;1462;250;141
Bordány;nagyközség;Csongrád;Mórahalom;3648;3281;1487
Borgáta;község;Vas;Celldömölk;621;179;104
Borjád;község;Baranya;Bóly;1559;379;153
Borota;község;Bács-Kiskun;Jánoshalma;8178;1371;766
Borsfa;község;Zala;Letenye;1183;694;292
Borsodbóta;község;Borsod-Abaúj-Zemplén;Ózd;813;907;344
Borsodgeszt;község;Borsod-Abaúj-Zemplén;Mezőkövesd;1506;259;174
Borsodivánka;község;Borsod-Abaúj-Zemplén;Mezőkövesd;1590;708;250
Borsodnádasd;város;Borsod-Abaúj-Zemplén;Ózd;2807;3204;1349
Borsodszentgyörgy;község;Borsod-Abaúj-Zemplén;Ózd;2153;1193;484
Borsodszirák;község;Borsod-Abaúj-Zemplén;Edelény;1101;1145;386
Borsosberény;község;Nógrád;Rétság;2026;935;386
Borszörcsök;község;Veszprém;Devecser;1180;360;159
Borzavár;község;Veszprém;Zirc;1300;704;333
Bosta;község;Baranya;Pécs;595;132;52
Botpalád;község;Szabolcs-Szatmár-Bereg;Fehérgyarmat;1650;738;236
Botykapeterd;község;Baranya;Szigetvár;1743;341;130
Bozzai;község;Vas;Szombathely;442;324;120
Bozsok;község;Vas;Kőszeg;2091;341;149
Bózsva;község;Borsod-Abaúj-Zemplén;Sátoraljaújhely;1639;171;115
Bő;község;Vas;Sárvár;1065;728;317
Bőcs;község;Borsod-Abaúj-Zemplén;Miskolc;2432;2710;949
Böde;község;Zala;Zalaegerszeg;917;294;122
Bödeháza;község;Zala;Lenti;667;38;57
Bögöt;község;Vas;Sárvár;499;384;166
Bögöte;község;Vas;Sárvár;2074;280;162
Böhönye;község;Somogy;Marcali;6414;2261;949
Bököny;község;Szabolcs-Szatmár-Bereg;Nagykálló;3547;3118;1204
Bölcske;község;Tolna;Paks;5871;2754;1264
Bőny;község;Győr-Moson-Sopron;Győr;5042;2151;791
Börcs;község;Győr-Moson-Sopron;Győr;1277;1283;451
Börzönce;község;Zala;Nagykanizsa;560;53;35
Bősárkány;nagyközség;Győr-Moson-Sopron;Csorna;2329;2046;797
Bőszénfa;község;Somogy;Kaposvár;4294;522;193
Bucsa;község;Békés;Szeghalom;5581;2179;975
Bucsu;község;Vas;Szombathely;1654;565;212
Búcsúszentlászló;község;Zala;Zalaegerszeg;154;795;293
Bucsuta;község;Zala;Letenye;1620;214;109
Budajenő;község;Pest;Budakeszi;1242;1864;617
Budakalász;város;Pest;Szentendre;1517;10660;3933
Budakeszi;város;Pest;Budakeszi;3710;13863;5590
Budaörs;város;Pest;Budakeszi;2359;28045;10899
Budapest;főváros ;Pest;;52513;1757618;909962
Budapest 01. ker.;fővárosi kerület;főváros;Budapest 01. ker.;341;24933;16999
Budapest 02. ker.;fővárosi kerület;főváros;Budapest 02. ker.;3634;89598;48967
Budapest 03. ker.;fővárosi kerület;főváros;Budapest 03. ker.;3970;128535;62989
Budapest 04. ker.;fővárosi kerület;főváros;Budapest 04. ker.;1882;101182;47162
Budapest 05. ker.;fővárosi kerület;főváros;Budapest 05. ker.;259;26277;19705
Budapest 06. ker.;fővárosi kerület;főváros;Budapest 06. ker.;238;38757;27903
Budapest 07. ker.;fővárosi kerület;főváros;Budapest 07. ker.;209;54129;36853
Budapest 08. ker.;fővárosi kerület;főváros;Budapest 08. ker.;685;76957;44752
Budapest 09. ker.;fővárosi kerület;főváros;Budapest 09. ker.;1253;59121;39846
Budapest 10. ker.;fővárosi kerület;főváros;Budapest 10. ker.;3249;78703;38647
Budapest 11. ker.;fővárosi kerület;főváros;Budapest 11. ker.;3349;152620;78560
Budapest 12. ker.;fővárosi kerület;főváros;Budapest 12. ker.;2667;58322;33538
Budapest 13. ker.;fővárosi kerület;főváros;Budapest 13. ker.;1344;120199;73318
Budapest 14. ker.;fővárosi kerület;főváros;Budapest 14. ker.;1813;124956;72586
Budapest 15. ker.;fővárosi kerület;főváros;Budapest 15. ker.;2694;80327;37262
Budapest 16. ker.;fővárosi kerület;főváros;Budapest 16. ker.;3351;72904;30830
Budapest 17. ker.;fővárosi kerület;főváros;Budapest 17. ker.;5482;87569;33246
Budapest 18. ker.;fővárosi kerület;főváros;Budapest 18. ker.;3860;101613;43770
Budapest 19. ker.;fővárosi kerület;főváros;Budapest 19. ker.;938;60904;27310
Budapest 20. ker.;fővárosi kerület;főváros;Budapest 20. ker.;1218;65851;31011
Budapest 21. ker.;fővárosi kerület;főváros;Budapest 21. ker.;2575;76824;33271
Budapest 22. ker.;fővárosi kerület;főváros;Budapest 22. ker.;3425;54504;22738
Budapest 23. ker.;fővárosi kerület;főváros;Budapest 23. ker.;4077;22833;8699
Bugac;nagyközség;Bács-Kiskun;Kiskunfélegyháza;13030;2690;1403
Bugacpusztaháza;község;Bács-Kiskun;Kiskunfélegyháza;4359;255;141
Bugyi;nagyközség;Pest;Dabas;11553;5127;2069
Buj;község;Szabolcs-Szatmár-Bereg;Ibrány;3276;2287;964
Buják;község;Nógrád;Pásztó;5304;2183;907
Buzsák;község;Somogy;Fonyód;5968;1347;655
Bük;város;Vas;Kőszeg;2086;3544;1446
Bükkábrány;község;Borsod-Abaúj-Zemplén;Mezőkövesd;1802;1697;692
Bükkaranyos;község;Borsod-Abaúj-Zemplén;Miskolc;2619;1478;540
Bükkmogyorósd;község;Borsod-Abaúj-Zemplén;Ózd;990;128;102
Bükkösd;község;Baranya;Szentlőrinc;3015;1098;440
Bükkszék;község;Heves;Pétervására;1530;692;420
Bükkszenterzsébet;község;Heves;Pétervására;2486;1067;470
Bükkszentkereszt;község;Borsod-Abaúj-Zemplén;Miskolc;2698;1206;517
Bükkszentmárton;község;Heves;Bélapátfalva;826;295;128
Bükkzsérc;község;Borsod-Abaúj-Zemplén;Mezőkövesd;3725;957;514
Bürüs;község;Baranya;Szigetvár;1631;71;39
